game_id,season,date,game_type,neutral_site,home_team,away_team,home_score,away_score,home_result,winner,point_margin,total_points,elo1,elo2,elo_prob1
1995_1995-09-03_BUF_DEN,1995,1995-09-03,Regular Season,FALSE,DEN,BUF,22,7,W,DEN,15,29,1499.817,1496.155,0.5975459472042431
1995_1995-09-03_CIN_IND,1995,1995-09-03,Regular Season,FALSE,IND,CIN,21,24,L,CIN,3,45,1464.153,1377.48,0.7053903280275431
1995_1995-09-03_CAR_ATL,1995,1995-09-03,Regular Season,FALSE,ATL,CAR,23,20,W,ATL,3,43,1464.162,1300,0.7890423367149595
1995_1995-09-03_DET_PIT,1995,1995-09-03,Regular Season,FALSE,PIT,DET,23,20,W,PIT,3,43,1591.956,1524.531,0.6818527885762471
1995_1995-09-03_TB_PHI,1995,1995-09-03,Regular Season,FALSE,PHI,TB,6,21,L,TB,15,27,1483.774,1432.63,0.6611848126398677
1995_1995-09-03_CLE_NE,1995,1995-09-03,Regular Season,FALSE,NE,CLE,17,14,W,NE,3,31,1538.844,1556.484,0.5677374886117118
1995_1995-09-03_SF_NO,1995,1995-09-03,Regular Season,FALSE,NO,SF,22,24,L,SF,2,46,1492.151,1675.847,0.33553206423128124
1995_1995-09-03_LAC_OAK,1995,1995-09-03,Regular Season,FALSE,OAK,LAC,17,7,W,OAK,10,24,1521.353,1564.936,0.5307825605550592
1995_1995-09-03_KC_SEA,1995,1995-09-03,Regular Season,FALSE,SEA,KC,10,34,L,KC,24,44,1426.033,1537.517,0.43350045937549414
1995_1995-09-03_MIN_CHI,1995,1995-09-03,Regular Season,FALSE,CHI,MIN,31,14,W,CHI,17,45,1510.055,1515.789,0.5844728853485237
1995_1995-09-03_ARI_WSH,1995,1995-09-03,Regular Season,FALSE,WSH,ARI,27,7,W,WSH,20,34,1414.692,1513.879,0.45095912435331575
1995_1995-09-03_TEN_JAX,1995,1995-09-03,Regular Season,FALSE,JAX,TEN,3,10,L,TEN,7,13,1300,1421.405,0.4195323872083238
1995_1995-09-03_LAR_GB,1995,1995-09-03,Regular Season,FALSE,GB,LAR,14,17,L,LAR,3,31,1559.068,1393.793,0.790106826442616
1995_1995-09-03_NYJ_MIA,1995,1995-09-03,Regular Season,FALSE,MIA,NYJ,52,14,W,MIA,38,66,1551.178,1435.271,0.7391170393411524
1995_1995-09-04_DAL_NYG,1995,1995-09-04,Regular Season,FALSE,NYG,DAL,0,35,L,DAL,35,35,1538.837,1638.011,0.4509776529488187
1995_1995-09-10_DEN_DAL,1995,1995-09-10,Regular Season,FALSE,DAL,DEN,31,21,W,DAL,10,52,1669.838,1521.459,0.7735223432942726
1995_1995-09-10_CAR_BUF,1995,1995-09-10,Regular Season,FALSE,BUF,CAR,31,9,W,BUF,22,40,1474.514,1294.703,0.803646895806998
1995_1995-09-10_JAX_CIN,1995,1995-09-10,Regular Season,FALSE,CIN,JAX,24,17,W,CIN,7,41,1398.485,1282.988,0.7386616913284937
1995_1995-09-10_TB_CLE,1995,1995-09-10,Regular Season,FALSE,CLE,TB,22,6,W,CLE,16,28,1544.752,1471.337,0.6892854399041363
1995_1995-09-10_PHI_ARI,1995,1995-09-10,Regular Season,FALSE,ARI,PHI,19,31,L,PHI,12,50,1479.92,1445.067,0.6398700276252057
1995_1995-09-10_SEA_LAC,1995,1995-09-10,Regular Season,FALSE,LAC,SEA,14,10,W,LAC,4,24,1542.651,1398.703,0.7690227576215104
1995_1995-09-10_NO_LAR,1995,1995-09-10,Regular Season,FALSE,LAR,NO,17,13,W,LAR,4,30,1418.261,1485.156,0.4972729028230781
