game_id,season,week,date,game_type,neutral_site,home_team,away_team,home_score,away_score,home_result,winner,point_margin,total_points,source
1995_1995-09-03_BUF_DEN,1995,NA,1995-09-03,Regular Season,FALSE,DEN,BUF,22,7,W,DEN,15,29,FiveThirtyEight
1995_1995-09-03_CIN_IND,1995,NA,1995-09-03,Regular Season,FALSE,IND,CIN,21,24,L,CIN,3,45,FiveThirtyEight
1995_1995-09-03_CAR_ATL,1995,NA,1995-09-03,Regular Season,FALSE,ATL,CAR,23,20,W,ATL,3,43,FiveThirtyEight
1995_1995-09-03_DET_PIT,1995,NA,1995-09-03,Regular Season,FALSE,PIT,DET,23,20,W,PIT,3,43,FiveThirtyEight
1995_1995-09-03_TB_PHI,1995,NA,1995-09-03,Regular Season,FALSE,PHI,TB,6,21,L,TB,15,27,FiveThirtyEight
1995_1995-09-03_CLE_NE,1995,NA,1995-09-03,Regular Season,FALSE,NE,CLE,17,14,W,NE,3,31,FiveThirtyEight
1995_1995-09-03_SF_NO,1995,NA,1995-09-03,Regular Season,FALSE,NO,SF,22,24,L,SF,2,46,FiveThirtyEight
1995_1995-09-03_LAC_LV,1995,NA,1995-09-03,Regular Season,FALSE,LV,LAC,17,7,W,LV,10,24,FiveThirtyEight
1995_1995-09-03_KC_SEA,1995,NA,1995-09-03,Regular Season,FALSE,SEA,KC,10,34,L,KC,24,44,FiveThirtyEight
1995_1995-09-03_MIN_CHI,1995,NA,1995-09-03,Regular Season,FALSE,CHI,MIN,31,14,W,CHI,17,45,FiveThirtyEight
1995_1995-09-03_ARI_WAS,1995,NA,1995-09-03,Regular Season,FALSE,WAS,ARI,27,7,W,WAS,20,34,FiveThirtyEight
1995_1995-09-03_TEN_JAX,1995,NA,1995-09-03,Regular Season,FALSE,JAX,TEN,3,10,L,TEN,7,13,FiveThirtyEight
1995_1995-09-03_LA_GB,1995,NA,1995-09-03,Regular Season,FALSE,GB,LA,14,17,L,LA,3,31,FiveThirtyEight
1995_1995-09-03_NYJ_MIA,1995,NA,1995-09-03,Regular Season,FALSE,MIA,NYJ,52,14,W,MIA,38,66,FiveThirtyEight
1995_1995-09-04_DAL_NYG,1995,NA,1995-09-04,Regular Season,FALSE,NYG,DAL,0,35,L,DAL,35,35,FiveThirtyEight
1995_1995-09-10_DEN_DAL,1995,NA,1995-09-10,Regular Season,FALSE,DAL,DEN,31,21,W,DAL,10,52,FiveThirtyEight
1995_1995-09-10_CAR_BUF,1995,NA,1995-09-10,Regular Season,FALSE,BUF,CAR,31,9,W,BUF,22,40,FiveThirtyEight
1995_1995-09-10_JAX_CIN,1995,NA,1995-09-10,Regular Season,FALSE,CIN,JAX,24,17,W,CIN,7,41,FiveThirtyEight
1995_1995-09-10_TB_CLE,1995,NA,1995-09-10,Regular Season,FALSE,CLE,TB,22,6,W,CLE,16,28,FiveThirtyEight
1995_1995-09-10_PHI_ARI,1995,NA,1995-09-10,Regular Season,FALSE,ARI,PHI,19,31,L,PHI,12,50,FiveThirtyEight
1995_1995-09-10_SEA_LAC,1995,NA,1995-09-10,Regular Season,FALSE,LAC,SEA,14,10,W,LAC,4,24,FiveThirtyEight
1995_1995-09-10_NO_LA,1995,NA,1995-09-10,Regular Season,FALSE,LA,NO,17,13,W,LA,4,30,FiveThirtyEight
1995_1995-09-10_DET_MIN,1995,NA,1995-09-10,Regular Season,FALSE,MIN,DET,20,10,W,MIN,10,30,FiveThirtyEight
1995_1995-09-10_MIA_NE,1995,NA,1995-09-10,Regular Season,FALSE,NE,MIA,3,20,L,MIA,17,23,FiveThirtyEight
1995_1995-09-10_IND_NYJ,1995,NA,1995-09-10,Regular Season,FALSE,NYJ,IND,24,27,L,IND,3,51,FiveThirtyEight
1995_1995-09-10_PIT_TEN,1995,NA,1995-09-10,Regular Season,FALSE,TEN,PIT,17,34,L,PIT,17,51,FiveThirtyEight
1995_1995-09-10_ATL_SF,1995,NA,1995-09-10,Regular Season,FALSE,SF,ATL,41,10,W,SF,31,51,FiveThirtyEight
1995_1995-09-10_LV_WAS,1995,NA,1995-09-10,Regular Season,FALSE,WAS,LV,8,20,L,LV,12,28,FiveThirtyEight
1995_1995-09-10_NYG_KC,1995,NA,1995-09-10,Regular Season,FALSE,KC,NYG,20,17,W,KC,3,37,FiveThirtyEight
1995_1995-09-11_GB_CHI,1995,NA,1995-09-11,Regular Season,FALSE,CHI,GB,24,27,L,GB,3,51,FiveThirtyEight
1995_1995-09-17_CHI_TB,1995,NA,1995-09-17,Regular Season,FALSE,TB,CHI,6,25,L,CHI,19,31,FiveThirtyEight
1995_1995-09-17_JAX_NYJ,1995,NA,1995-09-17,Regular Season,FALSE,NYJ,JAX,27,10,W,NYJ,17,37,FiveThirtyEight
1995_1995-09-17_CLE_TEN,1995,NA,1995-09-17,Regular Season,FALSE,TEN,CLE,7,14,L,CLE,7,21,FiveThirtyEight
1995_1995-09-17_CIN_SEA,1995,NA,1995-09-17,Regular Season,FALSE,SEA,CIN,24,21,W,SEA,3,45,FiveThirtyEight
1995_1995-09-17_NE_SF,1995,NA,1995-09-17,Regular Season,FALSE,SF,NE,28,3,W,SF,25,31,FiveThirtyEight
1995_1995-09-17_LAC_PHI,1995,NA,1995-09-17,Regular Season,FALSE,PHI,LAC,21,27,L,LAC,6,48,FiveThirtyEight
1995_1995-09-17_LA_CAR,1995,NA,1995-09-17,Regular Season,FALSE,CAR,LA,10,31,L,LA,21,41,FiveThirtyEight
1995_1995-09-17_IND_BUF,1995,NA,1995-09-17,Regular Season,FALSE,BUF,IND,20,14,W,BUF,6,34,FiveThirtyEight
1995_1995-09-17_WAS_DEN,1995,NA,1995-09-17,Regular Season,FALSE,DEN,WAS,38,31,W,DEN,7,69,FiveThirtyEight
1995_1995-09-17_ARI_DET,1995,NA,1995-09-17,Regular Season,FALSE,DET,ARI,17,20,L,ARI,3,37,FiveThirtyEight
1995_1995-09-17_NYG_GB,1995,NA,1995-09-17,Regular Season,FALSE,GB,NYG,14,6,W,GB,8,20,FiveThirtyEight
