season,team_id,franchise_id,historical_team_name,city,nickname,active
1995,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
1995,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
1995,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1995,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1995,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1995,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1995,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
1995,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1995,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1995,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1995,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1995,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1995,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1995,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1995,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1995,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1995,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1995,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1995,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1995,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
1995,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
1995,NYG,GIANTS,New York Giants,New York,Giants,TRUE
1995,NYJ,JETS,New York Jets,New York,Jets,TRUE
1995,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
1995,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
1995,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
1995,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
1995,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
1995,TEN,TITANS,Houston Oilers,Houston,Oilers,TRUE
1995,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
1996,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
1996,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
1996,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
1996,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1996,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1996,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1996,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1996,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1996,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1996,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1996,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1996,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1996,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1996,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1996,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1996,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1996,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1996,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1996,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1996,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
1996,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
1996,NYG,GIANTS,New York Giants,New York,Giants,TRUE
1996,NYJ,JETS,New York Jets,New York,Jets,TRUE
1996,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
1996,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
1996,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
1996,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
1996,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
1996,TEN,TITANS,Houston Oilers,Houston,Oilers,TRUE
1996,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
1997,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
1997,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
1997,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
1997,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1997,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1997,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1997,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1997,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1997,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1997,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1997,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1997,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1997,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1997,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1997,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1997,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1997,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1997,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1997,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1997,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
1997,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
1997,NYG,GIANTS,New York Giants,New York,Giants,TRUE
1997,NYJ,JETS,New York Jets,New York,Jets,TRUE
1997,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
1997,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
1997,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
1997,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
1997,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
1997,TEN,TITANS,Tennessee Oilers,Tennessee,Oilers,TRUE
1997,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
1998,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
1998,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
1998,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
1998,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1998,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1998,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1998,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1998,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1998,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1998,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1998,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1998,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1998,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1998,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1998,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1998,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1998,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1998,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1998,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1998,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
1998,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
1998,NYG,GIANTS,New York Giants,New York,Giants,TRUE
1998,NYJ,JETS,New York Jets,New York,Jets,TRUE
1998,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
1998,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
1998,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
1998,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
1998,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
1998,TEN,TITANS,Tennessee Oilers,Tennessee,Oilers,TRUE
1998,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
1999,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
1999,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
1999,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
1999,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
1999,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
1999,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
1999,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
1999,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
1999,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
1999,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
1999,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
1999,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
1999,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
1999,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
1999,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
1999,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
1999,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
1999,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
1999,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
1999,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
1999,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
