season,team_id,franchise_id,team_name,city,nickname,conference,division,division_rank,active,preseason_played,preseason_games,preseason_wins,preseason_losses,preseason_ties,preseason_win_pct,preseason_points_for,preseason_points_against,preseason_point_diff,regular_games,regular_wins,regular_losses,regular_ties,regular_win_pct,regular_points_for,regular_points_against,regular_point_diff,playoff_seed,made_playoffs,playoff_result,season_outcome,super_bowl_team,super_bowl_winner,super_bowl_runner_up,preseason_source_file,preseason_ocr_confidence,standings_source_url,super_bowl_source_url
1995,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,AFC,AFC Central,1,TRUE,TRUE,4,1,3,0,0.25,57,82,-25,16,11,5,0,0.6875,407,327,80,2,TRUE,LostSB,Lost Super Bowl,TRUE,FALSE,TRUE,1995-preseason.png,90.1,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,AFC,AFC Central,2,TRUE,TRUE,4,1,3,0,0.25,78,102,-24,16,7,9,0,0.4375,349,374,-25,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,93.1,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,TEN,TITANS,Houston Oilers,Houston,Oilers,AFC,AFC Central,3,TRUE,TRUE,3,0,3,0,0,26,42,-16,16,7,9,0,0.4375,348,324,24,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,94.7,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,AFC,AFC Central,4,TRUE,TRUE,4,2,2,0,0.5,109,68,41,16,5,11,0,0.3125,289,356,-67,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,92.3,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,AFC,AFC Central,5,TRUE,TRUE,5,2,3,0,0.4,74,104,-30,16,4,12,0,0.25,275,404,-129,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,92.5,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,BUF,BILLS,Buffalo Bills,Buffalo,Bills,AFC,AFC East,1,TRUE,TRUE,5,2,3,0,0.4,64,109,-45,16,10,6,0,0.625,350,335,15,3,TRUE,LostDV,Lost Divisional,FALSE,FALSE,FALSE,1995-preseason.png,90.5,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,AFC,AFC East,2,TRUE,TRUE,4,3,1,0,0.75,90,75,15,16,9,7,0,0.5625,331,316,15,5,TRUE,LostCC,Lost Conference Championship,FALSE,FALSE,FALSE,1995-preseason.png,94.7,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,AFC,AFC East,3,TRUE,TRUE,4,1,3,0,0.25,65,98,-33,16,9,7,0,0.5625,398,332,66,6,TRUE,LostWC,Lost Wild Card,FALSE,FALSE,FALSE,1995-preseason.png,86.6,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,NE,PATRIOTS,New England Patriots,New England,Patriots,AFC,AFC East,4,TRUE,TRUE,4,1,3,0,0.25,69,107,-38,16,6,10,0,0.375,294,377,-83,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,94.3,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,NYJ,JETS,New York Jets,New York,Jets,AFC,AFC East,5,TRUE,TRUE,4,2,2,0,0.5,80,72,8,16,3,13,0,0.1875,233,384,-151,,FALSE,,Missed playoffs,FALSE,FALSE,FALSE,1995-preseason.png,95.8,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
1995,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,AFC,AFC West,1,TRUE,TRUE,4,3,1,0,0.75,107,66,41,16,13,3,0,0.8125,358,241,117,1,TRUE,LostDV,Lost Divisional,FALSE,FALSE,FALSE,1995-preseason.png,91.6,https://shrpsports.com/nfl/stand/1995finaldiv.htm,https://raw.githubusercontent.com/devstopfix/nfl_results/master/nfl%201995.csv
