season,teams,team_games,total_wins,total_losses,total_ties,league_points_for,league_points_against,raw_games,expected_teams,team_count_pass,game_count_pass,wins_losses_pass,ties_pass,points_pass,all_checks_pass
1995,30,480,240,240,0,10314,10314,240,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1996,30,480,240,240,0,9805,9805,240,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1997,30,480,238,238,4,9957,9957,240,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1998,30,480,240,240,0,10215,10215,240,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1999,31,496,248,248,0,10324,10324,248,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2000,31,496,248,248,0,10254,10254,248,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2001,31,496,248,248,0,10024,10024,248,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2002,32,512,255,255,2,11097,11097,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2003,32,512,256,256,0,10666,10666,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2004,32,512,256,256,0,11000,11000,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2005,32,512,256,256,0,10556,10556,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2006,32,512,256,256,0,10577,10577,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2007,32,512,256,256,0,11104,11104,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2008,32,512,255,255,2,11279,11279,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2009,32,512,256,256,0,10991,10991,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2010,32,512,256,256,0,11283,11283,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2011,32,512,256,256,0,11356,11356,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2012,32,512,255,255,2,11651,11651,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2013,32,512,255,255,2,11985,11985,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2014,32,512,255,255,2,11565,11565,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015,32,512,256,256,0,11680,11680,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2016,32,512,254,254,4,11661,11661,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2017,32,512,256,256,0,11120,11120,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2018,32,512,254,254,4,11952,11952,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2019,32,512,255,255,2,11680,11680,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2020,32,512,255,255,2,12692,12692,256,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,32,544,271,271,2,12502,12502,272,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2022,32,542,269,269,4,11860,11860,271,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023,32,544,272,272,0,11842,11842,272,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024,32,544,272,272,0,12464,12464,272,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,32,544,271,271,2,12519,12519,272,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
