season,team_id,games,wins,losses,ties,points_for,points_against,win_pct,point_diff,game_type
1995,ARI,16,4,12,0,275,422,0.25,-147,REG
1995,ATL,16,9,7,0,362,349,0.5625,13,REG
1995,BUF,16,10,6,0,350,335,0.625,15,REG
1995,CAR,16,7,9,0,289,325,0.4375,-36,REG
1995,CHI,16,9,7,0,392,360,0.5625,32,REG
1995,CIN,16,7,9,0,349,374,0.4375,-25,REG
1995,CLE,16,5,11,0,289,356,0.3125,-67,REG
1995,DAL,16,12,4,0,435,291,0.75,144,REG
1995,DEN,16,8,8,0,388,345,0.5,43,REG
1995,DET,16,10,6,0,436,336,0.625,100,REG
1995,GB,16,11,5,0,404,314,0.6875,90,REG
1995,IND,16,9,7,0,331,316,0.5625,15,REG
1995,JAX,16,4,12,0,275,404,0.25,-129,REG
1995,KC,16,13,3,0,358,241,0.8125,117,REG
1995,LAC,16,9,7,0,321,323,0.5625,-2,REG
1995,LAR,16,7,9,0,309,418,0.4375,-109,REG
1995,MIA,16,9,7,0,398,332,0.5625,66,REG
1995,MIN,16,8,8,0,412,385,0.5,27,REG
1995,NE,16,6,10,0,294,377,0.375,-83,REG
1995,NO,16,7,9,0,319,348,0.4375,-29,REG
1995,NYG,16,5,11,0,290,340,0.3125,-50,REG
1995,NYJ,16,3,13,0,233,384,0.1875,-151,REG
1995,OAK,16,8,8,0,348,332,0.5,16,REG
1995,PHI,16,10,6,0,318,338,0.625,-20,REG
1995,PIT,16,11,5,0,407,327,0.6875,80,REG
1995,SEA,16,8,8,0,363,366,0.5,-3,REG
1995,SF,16,11,5,0,457,258,0.6875,199,REG
1995,TB,16,7,9,0,238,335,0.4375,-97,REG
1995,TEN,16,7,9,0,348,324,0.4375,24,REG
1995,WSH,16,6,10,0,326,359,0.375,-33,REG
1996,ARI,16,7,9,0,300,397,0.4375,-97,REG
1996,ATL,16,3,13,0,309,461,0.1875,-152,REG
1996,BAL,16,4,12,0,371,441,0.25,-70,REG
1996,BUF,16,10,6,0,319,266,0.625,53,REG
1996,CAR,16,12,4,0,367,218,0.75,149,REG
1996,CHI,16,7,9,0,283,305,0.4375,-22,REG
1996,CIN,16,8,8,0,372,369,0.5,3,REG
1996,DAL,16,10,6,0,286,250,0.625,36,REG
1996,DEN,16,13,3,0,391,275,0.8125,116,REG
1996,DET,16,5,11,0,302,368,0.3125,-66,REG
1996,GB,16,13,3,0,456,210,0.8125,246,REG
1996,IND,16,9,7,0,317,334,0.5625,-17,REG
1996,JAX,16,9,7,0,325,335,0.5625,-10,REG
1996,KC,16,9,7,0,297,300,0.5625,-3,REG
1996,LAC,16,8,8,0,310,376,0.5,-66,REG
1996,LAR,16,6,10,0,303,409,0.375,-106,REG
1996,MIA,16,8,8,0,339,325,0.5,14,REG
1996,MIN,16,9,7,0,298,315,0.5625,-17,REG
1996,NE,16,11,5,0,418,313,0.6875,105,REG
1996,NO,16,3,13,0,229,339,0.1875,-110,REG
1996,NYG,16,6,10,0,242,297,0.375,-55,REG
1996,NYJ,16,1,15,0,279,454,0.0625,-175,REG
1996,OAK,16,7,9,0,340,293,0.4375,47,REG
1996,PHI,16,10,6,0,363,341,0.625,22,REG
1996,PIT,16,10,6,0,344,257,0.625,87,REG
1996,SEA,16,7,9,0,317,376,0.4375,-59,REG
1996,SF,16,12,4,0,398,257,0.75,141,REG
1996,TB,16,6,10,0,221,293,0.375,-72,REG
1996,TEN,16,8,8,0,345,319,0.5,26,REG
1996,WSH,16,9,7,0,364,312,0.5625,52,REG
1997,ARI,16,4,12,0,283,379,0.25,-96,REG
1997,ATL,16,7,9,0,320,361,0.4375,-41,REG
1997,BAL,16,6,9,1,326,345,0.40625,-19,REG
1997,BUF,16,6,10,0,255,367,0.375,-112,REG
1997,CAR,16,7,9,0,265,314,0.4375,-49,REG
1997,CHI,16,4,12,0,263,421,0.25,-158,REG
1997,CIN,16,7,9,0,355,405,0.4375,-50,REG
1997,DAL,16,6,10,0,304,314,0.375,-10,REG
1997,DEN,16,12,4,0,472,287,0.75,185,REG
1997,DET,16,9,7,0,379,306,0.5625,73,REG
1997,GB,16,13,3,0,422,282,0.8125,140,REG
1997,IND,16,3,13,0,313,401,0.1875,-88,REG
1997,JAX,16,11,5,0,394,318,0.6875,76,REG
1997,KC,16,13,3,0,375,232,0.8125,143,REG
1997,LAC,16,4,12,0,266,425,0.25,-159,REG
1997,LAR,16,5,11,0,299,359,0.3125,-60,REG
1997,MIA,16,9,7,0,339,327,0.5625,12,REG
1997,MIN,16,9,7,0,354,359,0.5625,-5,REG
